city,state,latitude,longitude,population,msa,new_msa
mahopac,new york,41.37232,-73.73346,8369,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
seven hills,ohio,41.39533,-81.67624,11690,,united states__ohio__cleveland__MSA
jacksonville,oregon,42.31346,-122.96699,2883,Jacksonville FL MSA,united states__oregon__medford__MSA
tigerville,south carolina,35.06845,-82.36845,1312,Greenville-Mauldin-Easley SC MSA,united states__north carolina__asheville__MSA
yorktown,indiana,40.17365,-85.49414,11231,Muncie IN MSA,united states__indiana__indianapolis__MSA
marlborough,connecticut,41.6331,-72.4547,6368,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
gibbsboro,new jersey,39.83817,-74.96489,2244,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
haddon,new jersey,39.9063,-75.0625,14539,,united states__pennsylvania__philadelphia__MSA
bloomfield,new mexico,36.71112,-107.98451,7314,Farmington NM MSA,united states__new mexico__farmington__MSA
normal,alabama,34.789,-86.5719,0,Huntsville AL MSA,united states__alabama__huntsville__MSA
warrensburg,new york,43.49674,-73.77623,3103,Glens Falls NY MSA,united states__new york__queensbury__MSA
jeffersonville,vermont,44.64394,-72.82929,753,VT NONMETROPOLITAN AREA,united states__vermont__burlington__MSA
new carrollton,maryland,38.96983,-76.87997,12786,,united states__washington d c__washington__MSA
delran,new jersey,40.017,-74.9495,16548,,united states__pennsylvania__philadelphia__MSA
pickens,south carolina,34.88345,-82.70736,3173,Greenville-Mauldin-Easley SC MSA,united states__south carolina__greenville__MSA
fairview,tennessee,35.98201,-87.1214,8331,Nashville-Davidson-Murfreesboro-Franklin TN MSA,united states__tennessee__nashville__MSA
thornwood,new york,41.12343,-73.77902,3759,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
canaan,connecticut,42.02731,-73.32928,1212,CT NONMETROPOLITAN AREA,united states__massachusetts__springfield__MSA
contoocook,new hampshire,43.22202,-71.71397,1444,NH NONMETROPOLITAN AREA,united states__new hampshire__concord__MSA
valdese,north carolina,35.74069,-81.56315,4459,Hickory-Lenoir-Morganton NC MSA,united states__north carolina__lenoir__MSA
tuscola,illinois,39.7992,-88.2831,4443,IL NONMETROPOLITAN AREA,united states__illinois__champaign__MSA
menands,new york,42.69202,-73.72456,3998,,united states__new york__albany__MSA
middletown,virginia,39.02761,-78.28056,1315,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__virginia__middletown__MSA
littlestown,pennsylvania,39.74454,-77.08804,4478,PA NONMETROPOLITAN AREA,united states__pennsylvania__lancaster__MSA
ballston,virginia,38.8801,-77.1139,0,,united states__washington d c__washington__MSA
roaring spring,pennsylvania,40.33591,-78.39085,2537,Altoona PA MSA,united states__pennsylvania__altoona__MSA
holloman afb,new mexico,32.8483,-106.0998,4096,Las Cruces NM MSA,united states__new mexico__holloman afb__MSA
westville,new jersey,39.86789,-75.13156,4224,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
moncure,north carolina,35.62265,-79.07835,711,Durham NC MSA,united states__north carolina__raleigh__MSA
byfield,massachusetts,42.7598,-70.9481,0,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
kingston,new hampshire,42.93648,-71.05339,6225,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
thousand palms,california,33.82002,-116.39029,7715,Riverside-San Bernardino-Ontario CA MSA,united states__california__indio__MSA
tybee island,georgia,32.00022,-80.84567,3102,Savannah GA MSA,united states__georgia__savannah__MSA
sylvia park,california,34.115,-118.5818,0,,united states__california__los angeles__MSA
bladensburg,maryland,38.93928,-76.93386,9640,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
lexington,ohio,40.67867,-82.58239,4731,Lexington-Fayette KY MSA,united states__ohio__mansfield__MSA
marcy,new york,43.1732,-75.2662,9465,Utica-Rome NY MSA,united states__new york__syracuse__MSA
crescent springs,kentucky,39.05145,-84.58161,4010,,united states__ohio__cincinnati__MSA
salt river,kentucky,37.9792,-85.7125,0,,united states__kentucky__louisville__MSA
ecorse,michigan,42.24448,-83.14576,9257,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
grandview,washington,46.25097,-119.9017,11176,Yakima WA MSA,united states__washington__yakima__MSA
west henrietta,new york,43.04006,-77.66167,11691,Rochester NY MSA,united states__new york__rochester__MSA
trooper,pennsylvania,40.14983,-75.40185,5744,,united states__pennsylvania__philadelphia__MSA
westwego,louisiana,29.90604,-90.1423,8542,New Orleans-Metairie-Kenner LA MSA,united states__louisiana__new orleans__MSA
north st paul,minnesota,45.0137,-92.9995,12506,,united states__minnesota__minneapolis__MSA
glenmoore,pennsylvania,40.0868,-75.7819,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
auburn,new hampshire,43.00453,-71.3484,5089,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
fair lakes,virginia,38.853,-77.3885,8399,,united states__washington d c__washington__MSA
belville,north carolina,34.23073,-77.96582,1936,,united states__north carolina__wilmington__MSA
townsend,massachusetts,42.66676,-71.70507,1128,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
lomira,wisconsin,43.59138,-88.44371,2384,WI NONMETROPOLITAN AREA,united states__wisconsin__milwaukee__MSA
jefferson hills,pennsylvania,40.29118,-79.93199,11360,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
california polytechnic state university,california,35.3053,-120.6655,0,,united states__california__santa maria__MSA
parma,idaho,43.78516,-116.94321,2082,Boise City-Nampa ID MSA,united states__idaho__boise__MSA
seatac,washington,47.44846,-122.29217,28215,,united states__washington__seattle__MSA
china grove,north carolina,35.56931,-80.58173,4182,NC NONMETROPOLITAN AREA,united states__north carolina__charlotte__MSA
hamilton college,new york,43.0527,-75.4077,0,,united states__new york__syracuse__MSA
ardsley,new york,41.01065,-73.84375,4638,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
pacheco,california,37.98353,-122.07524,3685,,united states__california__san jose__MSA
pleasant hills,pennsylvania,40.33563,-79.96061,8252,,united states__pennsylvania__pittsburgh__MSA
perry,iowa,41.8386,-94.10718,8089,Des Moines-West Des Moines IA MSA,united states__iowa__des moines__MSA
march arb,california,33.8888,-117.2776,989,Riverside-San Bernardino-Ontario CA MSA,united states__california__san bernardino__MSA
surfside beach,south carolina,33.606,-78.97309,4280,,united states__south carolina__myrtle beach__MSA
derwood,maryland,39.11733,-77.16109,2381,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
rockford,minnesota,45.0883,-93.73441,4358,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
oak ridge,north carolina,36.17347,-79.98893,6671,Greensboro-High Point NC MSA,united states__north carolina__greensboro__MSA
weldon spring,missouri,38.71339,-90.68929,5575,,united states__missouri__st louis__MSA
shady grove,pennsylvania,39.7779,-77.6686,0,PA NONMETROPOLITAN AREA,united states__maryland__hagerstown__MSA
winterset,iowa,41.33082,-94.01384,5176,Des Moines-West Des Moines IA MSA,united states__iowa__des moines__MSA
pleasant ridge,michigan,42.47115,-83.14215,2556,Detroit-Warren-Livonia MI MSA,united states__michigan__detroit__MSA
sweet home,oregon,44.39762,-122.7362,9270,OR NONMETROPOLITAN AREA,united states__oregon__eugene__MSA
neptune city,new jersey,40.20011,-74.02792,4803,,united states__new york__new york city__MSA
lake barrington,illinois,42.21252,-88.15258,4973,,united states__illinois__chicago__MSA
warren afb,wyoming,41.1488,-104.8618,2456,Cheyenne WY MSA,united states__colorado__fort collins__MSA
bethany,west virginia,40.20563,-80.55674,1029,Weirton-Steubenville WV-OH MSA,united states__pennsylvania__pittsburgh__MSA
larose,louisiana,29.57244,-90.38175,7400,Houma-Bayou Cane-Thibodaux LA MSA,united states__louisiana__new orleans__MSA
bridgeport,pennsylvania,40.10511,-75.34518,4564,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
pepperdine university,california,34.0423,-118.7092,0,,united states__california__los angeles__MSA
hewlett,new york,40.64316,-73.69569,6819,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
bellbrook,ohio,39.63562,-84.07077,7053,Dayton OH MSA,united states__ohio__cincinnati__MSA
union gap,washington,46.55735,-120.47506,6037,,united states__washington__yakima__MSA
alden,new york,42.90006,-78.49197,2589,Buffalo-Niagara Falls NY MSA,united states__new york__buffalo__MSA
appomattox,virginia,37.35709,-78.82529,1759,Lynchburg VA MSA,united states__virginia__amherst__MSA
upper merion,pennsylvania,40.0902,-75.3791,30260,,united states__pennsylvania__philadelphia__MSA
olyphant,pennsylvania,41.46841,-75.60297,5111,Scranton--Wilkes-Barre PA MSA,united states__pennsylvania__scranton__MSA
middle village,new york,40.71649,-73.88125,29491,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
lasalle,illinois,41.3575,-89.0718,8986,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__la salle__MSA
center city,pennsylvania,39.9512,-75.15923,57239,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__pennsylvania__philadelphia__MSA
florida gulf coast university,florida,26.4613,-81.7687,0,,united states__florida__cape coral__MSA
east hills,new york,40.79371,-73.62707,7155,,united states__new york__new york city__MSA
indianola,pennsylvania,40.5695,-79.8637,0,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
st james,new york,40.8761,-73.1521,13671,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
perry point,maryland,39.5543,-76.0719,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__lancaster__MSA
chillicothe,illinois,40.92226,-89.4862,6226,Peoria IL MSA,united states__illinois__peoria__MSA
manlius,new york,43.00201,-75.97686,4630,Syracuse NY MSA,united states__new york__syracuse__MSA
green island,new york,42.74424,-73.69151,2612,,united states__new york__albany__MSA
pine grove,pennsylvania,40.54842,-76.38468,2142,PA NONMETROPOLITAN AREA,united states__pennsylvania__lancaster__MSA
sacred heart university,connecticut,41.2215,-73.2442,0,,united states__connecticut__bridgeport__MSA
cottondale,alabama,33.1922,-87.4544,3136,Tuscaloosa AL MSA,united states__alabama__birmingham__MSA
coplay,pennsylvania,40.6701,-75.49546,3229,Allentown-Bethlehem-Easton PA-NJ MSA,united states__pennsylvania__easton__MSA
town hall,massachusetts,42.0654,-70.8662,0,,united states__massachusetts__boston__MSA
north salem,new york,41.333,-73.6042,5167,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
thompson,connecticut,41.95871,-71.86257,9358,CT NONMETROPOLITAN AREA,united states__massachusetts__boston__MSA
trotwood,ohio,39.79728,-84.31133,24096,,united states__ohio__cincinnati__MSA
siena college,new york,42.719,-73.75,0,,united states__new york__albany__MSA
sussex,new jersey,41.20982,-74.60766,2043,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
montreat,north carolina,35.64428,-82.3029,723,Asheville NC MSA,united states__north carolina__asheville__MSA
kewaunee,wisconsin,44.45833,-87.50314,2876,Green Bay WI MSA,united states__wisconsin__green bay__MSA
woodmere,ohio,41.46228,-81.48067,864,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__ohio__cleveland__MSA
geyserville,california,38.70769,-122.9025,862,Santa Rosa-Petaluma CA MSA,united states__california__santa rosa__MSA
madison,north carolina,36.38542,-79.95949,2197,Greensboro-High Point NC MSA,united states__north carolina__greensboro__MSA
ledyard,connecticut,41.43982,-72.01424,15212,Norwich-New London CT MSA,united states__connecticut__new london__MSA
lexington,missouri,39.18473,-93.87994,4598,Lexington-Fayette KY MSA,united states__missouri__kansas city__MSA
montgomery,pennsylvania,41.17036,-76.87691,1558,Williamsport PA MSA,united states__pennsylvania__williamsport__MSA
berry college,georgia,34.291,-85.1878,0,,united states__georgia__berry college__MSA
east boston,new york,43.0834,-75.8174,0,,united states__new york__syracuse__MSA
gladwyne,pennsylvania,40.0407,-75.2791,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
bald head island,north carolina,33.86184,-77.99443,171,Wilmington NC MSA,united states__north carolina__wilmington__MSA
institute,west virginia,38.3798,-81.7661,0,Charleston WV MSA,united states__west virginia__charleston__MSA
kennedale,texas,32.6468,-97.22585,7715,Dallas-Fort Worth-Arlington TX MSA,united states__texas__dallas__MSA
del city,oklahoma,35.44201,-97.44087,22022,,united states__oklahoma__oklahoma city__MSA
mattituck,new york,40.99121,-72.53425,4219,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
oneida,new york,43.09257,-75.65129,11134,Syracuse NY MSA,united states__new york__syracuse__MSA
upper saint clair,pennsylvania,40.3359,-80.08339,19229,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
essington,pennsylvania,39.8621,-75.2971,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
east cleveland,ohio,41.53311,-81.57901,17344,,united states__ohio__cleveland__MSA
fairview,new jersey,40.8126,-73.99903,14451,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
irvington,new york,41.03922,-73.86823,6607,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
lake forest park,washington,47.75676,-122.28096,13243,,united states__washington__seattle__MSA
trenton,ohio,39.48089,-84.45772,12281,Cincinnati-Middletown OH-KY-IN MSA,united states__ohio__cincinnati__MSA
south paris,maine,44.22368,-70.51339,2267,ME NONMETROPOLITAN AREA,united states__maine__portland__MSA
central high,oklahoma,34.62313,-98.08976,1184,,united states__oklahoma__central high__MSA
norway,maine,44.21396,-70.54478,2748,ME NONMETROPOLITAN AREA,united states__maine__portland__MSA
green tree,pennsylvania,40.41174,-80.04561,4968,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
thorndale,pennsylvania,39.99288,-75.74522,3407,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
mercerville,new jersey,40.23705,-74.68655,13230,,united states__new york__new york city__MSA
st georges,delaware,39.5577,-75.6533,767,,united states__pennsylvania__philadelphia__MSA
lahaska,pennsylvania,40.3465,-75.0316,0,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
manchester by the sea,massachusetts,42.57787,-70.76894,5366,,united states__massachusetts__boston__MSA
kingfisher,oklahoma,35.86143,-97.93172,4865,OK NONMETROPOLITAN AREA,united states__oklahoma__oklahoma city__MSA
cohoes,new york,42.77424,-73.70012,16538,Albany-Schenectady-Troy NY MSA,united states__new york__albany__MSA
hampden,maine,44.74452,-68.83698,4343,Bangor ME MSA,united states__maine__bangor__MSA
plumsteadville,pennsylvania,40.38733,-75.14656,2637,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
far hills,new jersey,40.68427,-74.63571,930,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
glenshaw,pennsylvania,40.53285,-79.96755,8981,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
leetsdale,pennsylvania,40.56312,-80.20839,1199,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
east grand rapids,michigan,42.94114,-85.61003,11311,,united states__michigan__grand rapids__MSA
babson park,massachusetts,42.2987,-71.2595,0,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
hapeville,georgia,33.66011,-84.4102,6650,,united states__georgia__atlanta__MSA
quinnipiac university,connecticut,41.4174,-72.899,0,,united states__massachusetts__springfield__MSA
goddard,kansas,37.65974,-97.57533,4719,Wichita KS MSA,united states__kansas__wichita__MSA
island park,new york,40.60427,-73.65541,4766,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
fox point,wisconsin,43.15751,-87.90175,6755,,united states__wisconsin__milwaukee__MSA
elmendorf,texas,29.25607,-98.33279,1688,San Antonio TX MSA,united states__texas__san antonio__MSA
kutztown university,pennsylvania,40.5103,-75.785,3604,,united states__pennsylvania__lancaster__MSA
lonoke,arkansas,34.78398,-91.89986,4249,Little Rock-North Little Rock-Conway AR MSA,united states__arkansas__little rock__MSA
fairfield university,connecticut,41.159,-73.2571,0,,united states__new york__new york city__MSA
overland,missouri,38.70116,-90.36234,15959,,united states__missouri__st louis__MSA
big flats,new york,42.1373,-76.93691,5277,Elmira NY MSA,united states__new york__elmira__MSA
malmstrom afb,montana,47.5059,-111.1825,4179,Great Falls MT MSA,united states__montana__great falls__MSA
ellettsville,indiana,39.23393,-86.625,6544,Bloomington IN MSA,united states__indiana__indianapolis__MSA
grantville,pennsylvania,40.3779,-76.6464,0,Harrisburg-Carlisle PA MSA,united states__pennsylvania__lancaster__MSA
hatfield,massachusetts,42.37092,-72.59814,1318,Springfield MA MSA,united states__massachusetts__springfield__MSA
medinah,illinois,41.98142,-88.05118,2097,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__illinois__chicago__MSA
howard beach,new york,40.65788,-73.83625,26148,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
avondale,louisiana,29.91298,-90.20369,4954,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__louisiana__new orleans__MSA
glendale,colorado,39.70499,-104.93359,5198,Los Angeles-Long Beach-Santa Ana CA MSA,united states__colorado__denver__MSA
folsom,new jersey,39.60206,-74.84267,1851,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
bloomingdale,new jersey,41.00204,-74.32654,8215,Kalamazoo-Portage MI MSA,united states__new york__new york city__MSA
hopkinton,new hampshire,43.19147,-71.67535,5676,Boston-Cambridge-Quincy MA-NH MSA,united states__new hampshire__concord__MSA
new britain,pennsylvania,40.299,-75.18101,3017,Hartford-West Hartford-East Hartford CT MSA,united states__pennsylvania__philadelphia__MSA
summit,illinois,41.78809,-87.81033,11389,SD NONMETROPOLITAN AREA,united states__illinois__chicago__MSA
auburn,michigan,43.60336,-84.0697,2113,Auburn-Opelika AL MSA,united states__michigan__saginaw__MSA
cumberland,maine,43.7933,-70.258,7998,Cumberland MD-WV MSA,united states__maine__portland__MSA
queenstown,maryland,38.99067,-76.15773,652,Baltimore-Towson MD MSA,united states__washington d c__washington__MSA
lindenhurst,illinois,42.41058,-88.02619,14408,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__illinois__chicago__MSA
edwardsville,pennsylvania,41.26953,-75.91631,4732,Kansas City MO-KS MSA,united states__pennsylvania__scranton__MSA
little creek,delaware,39.16706,-75.44825,233,Dover DE MSA,united states__delaware__dover__MSA
pine mountain,georgia,32.86485,-84.8541,1358,Columbus GA-AL MSA,united states__georgia__columbus__MSA
windsor,new hampshire,43.1124,-72.0179,207,York-Hanover PA MSA,united states__new hampshire__concord__MSA
beavercreek,oregon,45.2879,-122.53564,4485,Portland-Vancouver-Beaverton OR-WA MSA,united states__oregon__portland__MSA
south lebanon,ohio,39.37089,-84.21327,4346,Cincinnati-Middletown OH-KY-IN MSA,united states__ohio__cincinnati__MSA
maurice,louisiana,30.10854,-92.12457,1266,LA NONMETROPOLITAN AREA,united states__louisiana__lafayette__MSA
westmont,california,33.9414,-118.3023,31853,Chicago-Naperville-Joliet IL-IN-WI MSA,united states__california__los angeles__MSA
new river,arizona,33.91587,-112.13599,14952,Blacksburg-Christiansburg-Radford VA MSA,united states__arizona__phoenix__MSA
anthony,new mexico,32.00399,-106.60583,9293,Las Cruces NM MSA,united states__texas__el paso__MSA
fontana,wisconsin,42.55141,-88.5751,1720,Riverside-San Bernardino-Ontario CA MSA,united states__wisconsin__milwaukee__MSA
washington,pennsylvania,40.17396,-80.24617,13497,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__pennsylvania__pittsburgh__MSA
three rivers,oregon,43.82012,-121.46919,3014,Springfield MA MSA,united states__oregon__bend__MSA
sultan,washington,47.8626,-121.81651,4798,Seattle-Tacoma-Bellevue WA MSA,united states__washington__seattle__MSA
glen oaks,new york,40.74705,-73.71152,6655,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
allendale,california,38.44463,-121.94302,1506,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__california__sacramento__MSA
yorktown,new york,41.2727,-73.8092,36538,Virginia Beach-Norfolk-Newport News VA-NC MSA,united states__new york__new york city__MSA
delaware city,delaware,39.57789,-75.58881,1741,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
waynesville,ohio,39.52978,-84.0866,2999,Cincinnati-Middletown OH-KY-IN MSA,united states__ohio__cincinnati__MSA
andover,new jersey,40.98593,-74.74211,581,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
mission valley,arizona,33.3525,-111.8521,0,,united states__arizona__phoenix__MSA
saint clairsville,ohio,40.08063,-80.90009,5184,Wheeling WV-OH MSA,united states__ohio__saint clairsville__MSA
financial district,new york,40.70789,-74.00857,60976,,united states__new york__new york city__MSA
folcroft,pennsylvania,39.89095,-75.2838,6637,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
moody,alabama,33.59094,-86.49082,12593,Birmingham-Hoover AL MSA,united states__alabama__birmingham__MSA
bay pines,florida,27.81419,-82.77816,2931,Tampa-St. Petersburg-Clearwater FL MSA,united states__florida__tampa__MSA
fulton,new york,43.32285,-76.41716,11552,Syracuse NY MSA,united states__new york__syracuse__MSA
blasdell,new york,42.79728,-78.82337,2592,,united states__new york__buffalo__MSA
walbridge,ohio,41.58783,-83.49327,3109,Toledo OH MSA,united states__ohio__toledo__MSA
lansing,kansas,39.24861,-94.90024,11767,Lansing-East Lansing MI MSA,united states__missouri__kansas city__MSA
claysburg,pennsylvania,40.29674,-78.44974,1625,Altoona PA MSA,united states__pennsylvania__altoona__MSA
brookhaven,new york,40.77927,-72.91538,3451,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
rural hall,north carolina,36.24042,-80.29338,3126,Winston-Salem NC MSA,united states__north carolina__greensboro__MSA
rensselaer,new york,42.64258,-73.7429,9433,Albany-Schenectady-Troy NY MSA,united states__new york__albany__MSA
anna maria,florida,27.53115,-82.73343,1669,Sarasota-Bradenton-Venice FL MSA,united states__florida__tampa__MSA
kingston,washington,47.7985,-122.49806,2099,Bremerton-Silverdale WA MSA,united states__washington__seattle__MSA
green brook,new jersey,40.6038,-74.4825,7114,,united states__new york__new york city__MSA
east islip,new york,40.73204,-73.18567,14475,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
boxford,massachusetts,42.6612,-70.99672,2339,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
bath,pennsylvania,40.72565,-75.39407,2667,Allentown-Bethlehem-Easton PA-NJ MSA,united states__pennsylvania__scranton__MSA
islip,new york,40.72982,-73.21039,18689,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__new york__new york city__MSA
rye brook,new york,41.01926,-73.68346,9611,,united states__new york__new york city__MSA
springdale,pennsylvania,40.5409,-79.78394,3375,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
deforest,wisconsin,43.2301,-89.3437,10691,Madison WI MSA,united states__wisconsin__madison__MSA
carlisle,massachusetts,42.52926,-71.3495,4799,Boston-Cambridge-Quincy MA-NH MSA,united states__massachusetts__boston__MSA
newington,virginia,38.73845,-77.18498,12943,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
cleveland,north carolina,35.7332,-80.67701,873,NC NONMETROPOLITAN AREA,united states__north carolina__charlotte__MSA
runnemede,new jersey,39.85234,-75.06795,8381,Philadelphia-Camden-Wilmington PA-NJ-DE-MD MSA,united states__pennsylvania__philadelphia__MSA
kelso,washington,46.14678,-122.90844,11901,Longview WA MSA,united states__oregon__portland__MSA
watervliet,new york,42.73008,-73.70123,10214,Albany-Schenectady-Troy NY MSA,united states__new york__albany__MSA
peoria heights,illinois,40.74726,-89.57398,5979,Peoria IL MSA,united states__illinois__peoria__MSA
sandy spring,maryland,39.1496,-77.0269,0,Washington-Arlington-Alexandria DC-VA-MD-WV MSA,united states__washington d c__washington__MSA
patterson,new york,41.4849,-73.5921,11866,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
shelter island,new york,41.06815,-72.33869,1333,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
rutherford,california,38.45971,-122.4246,164,Napa CA MSA,united states__california__santa rosa__MSA
millbrook,alabama,32.47986,-86.36192,15314,Montgomery AL MSA,united states__alabama__montgomery__MSA
willington,connecticut,41.8896,-72.2593,5893,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
fayetteville,new york,43.02979,-76.00436,4180,Syracuse NY MSA,united states__new york__syracuse__MSA
irondequoit,new york,43.2134,-77.57972,51692,,united states__new york__rochester__MSA
new brighton,pennsylvania,40.73034,-80.31006,5891,Pittsburgh PA MSA,united states__pennsylvania__pittsburgh__MSA
fairview,texas,33.01929,-97.54586,1258,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__texas__dallas__MSA
douglaston,new york,40.76871,-73.74708,14762,,united states__new york__new york city__MSA
highland park,texas,32.83346,-96.79195,9189,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__texas__dallas__MSA
gulfport,florida,27.74836,-82.70343,12322,Gulfport-Biloxi MS MSA,united states__florida__tampa__MSA
east saint louis,illinois,38.6245,-90.15094,27006,St. Louis MO-IL MSA,united states__missouri__st louis__MSA
port orchard,washington,47.54037,-122.63625,13607,Bremerton-Silverdale WA MSA,united states__washington__seattle__MSA
easton,massachusetts,42.02454,-71.12866,23459,Providence-New Bedford-Fall River RI-MA MSA,united states__massachusetts__boston__MSA
pawcatuck,connecticut,41.37732,-71.83368,5624,Norwich-New London CT MSA,united states__connecticut__new london__MSA
mettawa,illinois,42.23336,-87.92591,578,,united states__illinois__chicago__MSA
new hill,north carolina,35.681,-78.9356,0,Raleigh-Cary NC MSA,united states__north carolina__raleigh__MSA
bessemer city,north carolina,35.28486,-81.28397,5548,Charlotte-Gastonia-Concord NC-SC MSA,united states__north carolina__charlotte__MSA
fayette,missouri,39.14587,-92.68379,2702,Columbia MO MSA,united states__missouri__columbia__MSA
maple lake,minnesota,45.22913,-94.00192,2092,Minneapolis-St. Paul-Bloomington MN-WI MSA,united states__minnesota__minneapolis__MSA
east haddam,connecticut,41.45315,-72.4612,9042,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
bellport,new york,40.75704,-72.93927,2078,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,united states__connecticut__bridgeport__MSA
winthrop,maine,44.30507,-69.977,2650,Boston-Cambridge-Quincy MA-NH MSA,united states__maine__portland__MSA
durham,connecticut,41.48176,-72.68121,2933,Hartford-West Hartford-East Hartford CT MSA,united states__massachusetts__springfield__MSA
edwards air force base,california,34.91637,-117.93535,2063,,united states__california__mojave__MSA
hudson,north carolina,35.84846,-81.49593,3721,Hickory-Lenoir-Morganton NC MSA,united states__north carolina__lenoir__MSA
