city,state,latitude,longitude,population,msa,new_msa
kostrzyn nad odra,lubusz,52.58713,14.64953,18099,,poland__lubusz__NONMETROPOLITAN AREA
zgorzelec,lower silesia,51.14942,15.00835,33247,,poland__lower silesia__NONMETROPOLITAN AREA
szczecinek,west pomerania,53.70791,16.69937,38496,,poland__west pomerania__NONMETROPOLITAN AREA
ostrow mazowiecka,mazovia,52.80245,21.89507,22653,,poland__mazovia__NONMETROPOLITAN AREA
wolsztyn,greater poland,52.11552,16.11712,13689,,poland__greater poland__NONMETROPOLITAN AREA
nowy tomysl,greater poland,52.3195,16.12844,15179,,poland__greater poland__NONMETROPOLITAN AREA
fjerritslev,north denmark,57.08822,9.26622,3332,,denmark__north denmark__aalborg__MSA
toftlund,south denmark,55.18858,9.06925,3438,,denmark__south denmark__esbjerg__MSA
hornslet,central jutland,56.3155,10.32041,4906,,denmark__central jutland__arhus__MSA
avlum,central jutland,56.26539,8.79256,3273,,denmark__central jutland__holstebro__MSA
blokhus,north denmark,57.24797,9.58971,501,,denmark__north denmark__aalborg__MSA
jægerspris,capital region,55.85248,11.98565,4043,,denmark__capital region__copenhagen__MSA
brædstrup,central jutland,55.97153,9.61129,3130,,denmark__central jutland__arhus__MSA
munkebo,south denmark,55.45553,10.55433,5536,,denmark__south denmark__odense__MSA
kvistgard,capital region,55.99348,12.50446,1127,,denmark__capital region__copenhagen__MSA
rungsted,hovedstaden,55.8693,12.5516,0,,denmark__capital region__copenhagen__MSA
hornbæk,capital region,56.09027,12.45693,5334,,denmark__capital region__copenhagen__MSA
asnæs,zealand,55.81229,11.50129,3028,,denmark__capital region__copenhagen__MSA
kirke hvalsø,zealand,55.5917,11.86253,4086,,denmark__capital region__copenhagen__MSA
oksbøl,south denmark,55.6268,8.28757,2818,,denmark__south denmark__esbjerg__MSA
vinderup,central jutland,56.48176,8.77991,3095,,denmark__central jutland__holstebro__MSA
skodsborg,capital region,55.8225,12.57324,1244,,denmark__capital region__copenhagen__MSA
osted,zealand,55.56228,11.95786,2172,,denmark__capital region__copenhagen__MSA
hjallerup,north denmark,57.16466,10.14571,4192,,denmark__north denmark__aalborg__MSA
rønde,central jutland,56.30145,10.47505,2213,,denmark__central jutland__arhus__MSA
sunds,central jutland,56.20743,9.01386,3525,,denmark__central jutland__arhus__MSA
tommerup,south denmark,55.31952,10.20659,1558,,denmark__south denmark__odense__MSA
tørring,central jutland,55.85,9.48333,2370,,denmark__central jutland__arhus__MSA
arden,north denmark,56.76899,9.86184,2516,,denmark__central jutland__arhus__MSA
auning,central jutland,56.43079,10.37818,2941,,denmark__central jutland__arhus__MSA
skibby,capital region,55.75122,11.96083,3148,,denmark__capital region__copenhagen__MSA
stenløse,capital region,55.76828,12.19723,19998,,denmark__capital region__copenhagen__MSA
egtved,south denmark,55.61613,9.30763,2151,,denmark__south denmark__odense__MSA
borup,zealand,55.69369,11.63424,4699,MN NONMETROPOLITAN AREA,denmark__capital region__copenhagen__MSA
vodskov,north denmark,57.10854,10.02215,4603,,denmark__north denmark__aalborg__MSA
jyderup,zealand,55.66399,11.42029,4303,,denmark__capital region__copenhagen__MSA
jelling,south denmark,55.75588,9.4258,3607,,denmark__central jutland__arhus__MSA
hundige,sjaelland,55.5963,12.3122,0,,denmark__capital region__copenhagen__MSA
vissenbjerg,south denmark,55.38482,10.13784,3214,,denmark__south denmark__odense__MSA
brørup,south denmark,55.48194,9.01756,4233,,denmark__south denmark__esbjerg__MSA
brovst,north denmark,57.0975,9.52264,2696,,denmark__north denmark__aalborg__MSA
arup,south denmark,55.37315,10.04131,3233,,denmark__south denmark__odense__MSA
rødding,south denmark,55.36569,9.06316,2720,,denmark__south denmark__esbjerg__MSA
augustenborg,south denmark,54.95201,9.87216,3132,,denmark__south denmark__odense__MSA
vamdrup,south denmark,55.42764,9.28435,4844,,denmark__south denmark__odense__MSA
holte,hovedstaden,55.8167,12.4667,0,,denmark__capital region__copenhagen__MSA
glamsbjerg,south denmark,55.27237,10.10483,3293,,denmark__south denmark__odense__MSA
faxe,zealand,55.25561,12.11926,4184,,denmark__capital region__copenhagen__MSA
løsning,central jutland,55.80236,9.69539,12014,,denmark__central jutland__arhus__MSA
præstø,zealand,55.12374,12.04477,3834,,denmark__capital region__copenhagen__MSA
lunderskov,south denmark,55.48375,9.29917,2687,,denmark__south denmark__odense__MSA
kjellerup,central jutland,56.28581,9.43528,4514,,denmark__central jutland__arhus__MSA
høng,zealand,55.50736,11.28873,3789,,denmark__south denmark__odense__MSA
varde,south denmark,55.62112,8.48069,12735,,denmark__south denmark__esbjerg__MSA
silkeborg,central jutland,56.1697,9.54508,41674,,denmark__central jutland__arhus__MSA
herning,central jutland,56.13615,8.97662,44763,,denmark__central jutland__arhus__MSA
søborg,capital region,56.08481,12.31803,254,,denmark__capital region__copenhagen__MSA
frederiksberg,capital region,55.67938,12.53463,95029,,denmark__capital region__copenhagen__MSA
helsingør,capital region,56.03606,12.6136,35048,,denmark__capital region__copenhagen__MSA
fredericia,south denmark,55.56568,9.75257,36946,,denmark__central jutland__arhus__MSA
sønderborg,south denmark,54.90896,9.78917,27033,,denmark__south denmark__odense__MSA
nørresundby,north denmark,57.05877,9.92284,23718,,denmark__north denmark__aalborg__MSA
lynge,capital region,55.83941,12.27725,4284,,denmark__capital region__copenhagen__MSA
slangerup,capital region,55.85,12.18333,6791,,denmark__capital region__copenhagen__MSA
vejen,south denmark,55.48117,9.13795,8525,,denmark__south denmark__odense__MSA
køge,zealand,55.45802,12.18214,33885,,denmark__capital region__copenhagen__MSA
støvring,north denmark,56.88536,9.83839,6239,,denmark__north denmark__aalborg__MSA
skive,central jutland,56.56699,9.02707,20815,,denmark__north denmark__aalborg__MSA
rødovre,capital region,55.68062,12.45373,30000,,denmark__capital region__copenhagen__MSA
maløv,capital region,55.75528,12.32327,8797,,denmark__capital region__copenhagen__MSA
ikast,central jutland,56.13883,9.15768,14692,,denmark__central jutland__arhus__MSA
hadsten,central jutland,56.32819,10.04931,7020,,denmark__central jutland__arhus__MSA
nyborg,south denmark,55.31274,10.78964,15826,,denmark__south denmark__odense__MSA
haslev,zealand,55.32346,11.96389,10588,,denmark__capital region__copenhagen__MSA
abybro,north denmark,57.16249,9.72996,4849,,denmark__north denmark__aalborg__MSA
give,south denmark,55.84523,9.23769,4240,,denmark__central jutland__arhus__MSA
hedehusene,capital region,55.64951,12.19827,12874,,denmark__capital region__copenhagen__MSA
espergærde,capital region,55.99464,12.54733,11358,,denmark__capital region__copenhagen__MSA
hadsund,north denmark,56.71482,10.11682,5066,,denmark__central jutland__arhus__MSA
ronninge,syddanmark,55.345,10.6077,0,,denmark__south denmark__odense__MSA
stilling,central jutland,56.06224,9.98822,3655,,denmark__central jutland__arhus__MSA
otterup,south denmark,55.51527,10.39756,5227,,denmark__central jutland__arhus__MSA
tranbjerg,central jutland,56.09519,10.13605,7307,,denmark__central jutland__arhus__MSA
